STATE,DESCRIPTION,TYPE,DATE
AL,Special filing deadline for Alabama House District 73,Ballot access,2021-01-26
AL,Tuscaloosa City Schools filing deadline,Ballot access,2021-01-26
AL,Deadline for major party candidates to file for the special primary election in Alabama State Senate District 14,Ballot access,2021-01-26
AL,Birmingham City Schools,General election,2021-01-26
AL,Alabama State Senate District 26,Special election,2021-03-02
AL,Tuscaloosa City Schools,General election,2021-03-02
AL,Birmingham City Schools,General runoff election,2021-03-09
AL,Filing deadline for Alabama State House District 78 special election (major party),Ballot access,2021-03-23
AL,Deadline for minor party and independent candidates to file for the special general election in Alabama State Senate District 14,Ballot access,2021-03-30
AL,Alabama State Senate District 14,Special election,2021-03-30
AL,Third-party filing deadline for Alabama House of Representatives District 73 special election,Ballot access,2021-03-30
AL,Alabama House of Representatives District 73,Primary election,2021-03-30
AL,Tuscaloosa City Schools,General runoff election,2021-04-13
AL,Alabama House of Representatives District 73,Primary runoff election,2021-04-27
AL,Alabama State Senate District 14,Special election,2021-04-27
AL,Filing deadline for Alabama State House District 78 special election (minor party),Ballot access,2021-05-25
AL,Alabama House of Representatives District 78,Primary election,2021-05-25
AL,Alabama House of Representatives District 78,Primary runoff election,2021-06-22
AL,Birmingham municipal filing deadline,Ballot access,2021-07-10
AL,Alabama House of Representatives District 73,Special election,2021-07-13
AL,Alabama State Senate District 14,Special election,2021-07-13
AL,Birmingham,General election,2021-08-24
AL,Alabama House of Representatives District 78,Special election,2021-09-07
AL,Birmingham,General runoff election,2021-10-05
AK,Anchorage municipal filing deadline,Ballot access,2021-01-29
AK,Anchorage,General election,2021-04-06
AK,Anchorage,General runoff election,2021-05-11
AK,Juneau municipal filing deadline,Ballot access,2021-08-16
AK,Juneau write-in filing deadline,Ballot access,2021-09-30
AK,Juneau,General election,2021-10-05
AZ,Phoenix,General runoff election,2021-03-09
AZ,Tucson municipal filing deadline,Ballot access,2021-04-05
AZ,Tucson primary write-in deadline,Ballot access,2021-06-24
AZ,Tucson,Primary election,2021-08-03
AZ,Tucson general write-in deadline,Ballot access,2021-09-23
AZ,Tucson,General election,2021-11-02
CA,Filing deadline for CA State Senate District 30 special election,Ballot access,2021-01-07
CA,California State Assembly District 79 special primary filing deadline,Ballot access,2021-02-11
CA,California State Senate District 30,Special election,2021-03-02
CA,Orange County Board of Supervisors District 2,Special election,2021-03-09
CA,Riverside municipal filing deadline,Ballot access,2021-03-12
CA,California State Assembly District 54 special primary filing deadline,Ballot access,2021-03-24
CA,California State Assembly District 79,Primary election,2021-04-06
CA,California,Special election,2021-05-04
CA,Filing deadline for California State Assembly District 18 special election,Ballot access,2021-05-06
CA,California State Assembly District 54,Primary election,2021-05-18
CA,Vernon,Recall election,2021-06-01
CA,California State Assembly District 79,Special election,2021-06-08
CA,Riverside,General election,2021-06-08
CA,California State Assembly District 18,Primary election,2021-06-29
CA,California State Assembly District 54,Special election,2021-07-20
CA,Los Angeles County filing deadline,Ballot access,2021-08-06
CA,California State Assembly District 18,Special election,2021-08-31
CA,Los Angeles County,General election,2021-11-02
CA,Riverside,General runoff election,2021-11-02
CO,Colorado Springs municipal filing deadline,Ballot access,2021-01-25
CO,Montezuma-Cortez School District RE-1,Recall election,2021-02-16
CO,Colorado Springs,General election,2021-04-06
CO,"Filing deadline for recall election in Westminster, Colorado",Ballot access,2021-05-20
CO,Westminster,Recall election,2021-07-20
CO,Aurora municipal filing deadline,Ballot access,2021-08-24
CO,Colorado general election filing deadline,Ballot access,2021-08-27
CO,Aurora write-in filing deadline,Ballot access,2021-08-30
CO,Colorado general election write-in filing deadline,Ballot access,2021-08-30
CO,Colorado,General election,2021-11-02
CT,Connecticut State Senate District 27,Special election,2021-03-02
CT,This is the candidate filing deadline for the terminal election to fill a vacant seat in the Connecticut House of Representatives District 145.,Ballot access,2021-03-22
CT,Connecticut House of Representatives District 112,Special election,2021-04-13
CT,Connecticut House of Representatives District 145,Special election,2021-04-27
DE,Dover municipal filing deadline,Ballot access,2021-02-12
DE,Dover,General election,2021-04-20
FL,St. Petersburg municipal filing deadline,Ballot access,2021-06-18
FL,Hialeah municipal filing deadline,Ballot access,2021-07-26
FL,St. Petersburg,Primary election,2021-08-24
FL,Orlando municipal filing deadline,Ballot access,2021-09-17
FL,Miami municipal filing deadline,Ballot access,2021-09-18
FL,Hialeah,Primary election,2021-11-02
FL,St. Petersburg,General election,2021-11-02
FL,Orlando,General election,2021-11-02
FL,Florida District 20,Primary election,2021-11-02
FL,Miami,General election,2021-11-02
FL,Hialeah,General election,2021-11-16
FL,Miami,General runoff election,2021-11-16
FL,Orlando,General runoff election,2021-12-07
GA,Georgia,General runoff election,2021-01-05
GA,Georgia House of Representatives District 90,Primary election,2021-02-09
GA,Georgia House of Representatives District 90,Primary runoff election,2021-03-09
GA,Filing deadline for Georgia House of Representatives District 34 special election,Ballot access,2021-05-07
GA,Filing deadline for Georgia House of Representatives District 156 special election,Ballot access,2021-05-07
GA,Georgia House of Representatives District 156,Special election,2021-06-15
GA,Georgia House of Representatives District 34,Special election,2021-06-15
GA,Atlanta municipal filing deadline,Ballot access,2021-08-20
GA,Atlanta,General election,2021-11-02
GA,Atlanta,General runoff election,2021-11-30
ID,Nampa School District,Recall election,2021-03-09
ID,Pocatello-Chubbuck School District No. 25,Recall election,2021-03-09
ID,Plummer,Recall election,2021-03-09
ID,Hagerman,Recall election,2021-03-09
ID,Idaho Falls School District 91,Recall election,2021-03-09
ID,Nampa School District Board of Trustees Zone 4,Recall election,2021-05-18
ID,Idaho Falls School District 91,Recall election,2021-05-18
ID,Boise municipal filing deadline,Ballot access,2021-09-03
ID,Boise write-in filing deadline,Ballot access,2021-09-10
ID,Boise,General election,2021-11-02
IL,School District U-46 general election write-in filing deadline,Ballot access,2021-02-04
IL,Oak Park,Special election,2021-04-06
IL,School District U-46,General election,2021-04-06
IA,Third-party filing deadline for Iowa State Senate District 41 special election,Ballot access,2021-01-12
IA,Iowa State Senate District 41,Special election,2021-01-26
IA,Des Moines municipal filing deadline,Ballot access,2021-09-16
IA,Des Moines,General election,2021-11-02
IA,Des Moines,General runoff election,2021-11-30
KS,Circle USD 375,Special election,2021-04-20
KS,Circle Unified School District 375 filing deadline,Ballot access,2021-06-01
KS,Maize Unified School District 266 filing deadline,Ballot access,2021-06-01
KS,Topeka municipal filing deadline,Ballot access,2021-06-01
KS,Wichita municipal filing deadline,Ballot access,2021-06-01
KS,Goddard Unified School District 265 filing deadline,Ballot access,2021-06-01
KS,Haysville Unified School District 261 filing deadline,Ballot access,2021-06-01
KS,Wichita Public Schools filing deadline,Ballot access,2021-06-01
KS,Haysville USD 261,Primary election,2021-08-03
KS,Circle USD 375,Primary election,2021-08-03
KS,Wichita,Primary election,2021-08-03
KS,Goddard USD 265,Primary election,2021-08-03
KS,Maize USD 266,Primary election,2021-08-03
KS,Wichita Public Schools,Primary election,2021-08-03
KS,Haysville USD 261,General election,2021-11-02
KS,Maize USD 266,General election,2021-11-02
KS,Circle USD 375,General election,2021-11-02
KS,Wichita Public Schools,General election,2021-11-02
KS,Topeka,General election,2021-11-02
KS,Wichita,General election,2021-11-02
KS,Goddard USD 265,General election,2021-11-02
LA,Candidate filing deadline for special election in LA House District 35,Ballot access,2021-01-08
LA,Filing deadline for Louisiana 2nd Circuit Court of Appeal District 2 special election,Ballot access,2021-01-22
LA,Filing deadline for Louisiana Board of Elementary and Secondary Education District 4 sepcial election,Ballot access,2021-01-22
LA,Filing deadline for Louisiana 2nd Circuit Court of Appeal District 1 special election,Ballot access,2021-01-22
LA,Filing period for special primary election for District 82 in the Louisiana House of Representatives.,Ballot access,2021-01-27
LA,Louisiana House of Representatives District 35,Special election,2021-02-06
LA,Louisiana House of Representatives District 82,Primary election,2021-03-20
LA,Louisiana District 2,Special election,2021-03-20
LA,Louisiana Board of Elementary and Secondary Education District 4,Primary election,2021-03-20
LA,Louisiana House of Representatives District 35,Special election,2021-03-20
LA,Louisiana District 5,Special election,2021-03-20
LA,Louisiana 2nd Circuit Court of Appeal 2nd District,Special election,2021-03-20
LA,Louisiana 2nd Circuit Court of Appeal 1st District,Special election,2021-03-20
LA,Louisiana District 2,Special election,2021-04-24
LA,Louisiana Board of Elementary and Secondary Education District 4,General election,2021-04-24
LA,Louisiana 2nd Circuit Court of Appeal 2nd District,Special election,2021-04-24
LA,Louisiana 2nd Circuit Court of Appeal 1st District,Special election,2021-04-24
LA,Louisiana House of Representatives District 82,Special election,2021-04-24
LA,Louisiana District 5,Special election,2021-04-24
LA,Filing deadline for Louisiana State Senate District 7 special election,Ballot access,2021-05-07
LA,Louisiana State Senate District 7,Primary election,2021-06-12
LA,Louisiana State Senate District 7,General election,2021-07-10
LA,Filing deadline for the Baton Rouge City Court Division 2A special election,Ballot access,2021-07-16
LA,New Orleans municipal filing deadline,Ballot access,2021-07-16
LA,Filing deadline for Caddo Parish Public Schools District 7 special election,Ballot access,2021-07-16
LA,Baton Rouge City Court Section 2,Primary election,2021-10-09
LA,New Orleans,Primary election,2021-10-09
LA,Caddo Parish School Board District 7,Special election,2021-10-09
LA,New Orleans,General election,2021-11-13
LA,Caddo Parish School Board District 7,Special election,2021-11-13
LA,Baton Rouge City Court Section 2,General election,2021-11-13
ME,Candidate filing deadline for ME SD14 special election.,Ballot access,2021-01-08
ME,Maine State Senate District 14,Special election,2021-03-09
ME,"Augusta, Maine general election filing deadline",Ballot access,2021-09-03
ME,Maine,General election,2021-11-02
ME,Maine,Special election,2021-11-02
MD,Annapolis municipal filing deadline,Ballot access,2021-06-26
MD,Annapolis,Primary election,2021-09-21
MD,Annapolis,General election,2021-11-02
MA,Filing deadline for MA State House 19th Suffolk district special election,Ballot access,2021-01-26
MA,Massachusetts House of Representatives 19th Suffolk District,Special election,2021-03-02
MA,Massachusetts House of Representatives 19th Suffolk District,Special election,2021-03-30
MA,Boston municipal filing deadline,Ballot access,2021-05-18
MA,Boston,Primary election,2021-09-21
MA,Boston,General election,2021-11-02
MI,Special filing deadline for Michigan State Senate District 8,Ballot access,2021-04-20
MI,Lansing municipal filing deadline,Ballot access,2021-04-20
MI,Special filing deadline for Michigan State Senate District 28,Ballot access,2021-04-20
MI,Detroit municipal filing deadline,Ballot access,2021-04-20
MI,Michigan State Senate District 8,Primary election,2021-08-03
MI,Michigan State Senate District 28,Primary election,2021-08-03
MI,Lansing,Primary election,2021-08-03
MI,Detroit,Primary election,2021-08-03
MI,Michigan State Senate District 8,General election,2021-11-02
MI,Detroit,General election,2021-11-02
MI,Michigan State Senate District 28,General election,2021-11-02
MI,Lansing,General election,2021-11-02
MN,Saint Paul Public Schools filing deadline,Ballot access,2021-08-10
MN,St. Paul municipal filing deadline,Ballot access,2021-08-10
MN,Minneapolis municipal filing deadline,Ballot access,2021-08-10
MN,Anoka-Hennepin School District filing deadline,Ballot access,2021-08-10
MN,Minneapolis,General election,2021-11-02
MN,Saint Paul Public Schools,General election,2021-11-02
MN,Anoka-Hennepin School District,General election,2021-11-02
MN,St. Paul,General election,2021-11-02
MS,"Jackson, MS municipal filing deadline",Ballot access,2021-02-06
MS,Jackson,Primary election,2021-04-06
MS,Jackson,Primary runoff election,2021-04-27
MS,Jackson,General election,2021-06-08
MO,St. Louis municipal filing deadline,Ballot access,2021-01-04
MO,Grandview C-4 School District filing deadline,Ballot access,2021-01-19
MO,Kansas City Public Schools filing deadline,Ballot access,2021-01-19
MO,Center 58 School District filing deadline,Ballot access,2021-01-19
MO,Liberty Public Schools filing deadline,Ballot access,2021-01-19
MO,St. Louis Public Schools filing deadline,Ballot access,2021-01-19
MO,Jefferson City municipal filing deadline,Ballot access,2021-01-19
MO,Filing deadline for North Kansas City Schools,Ballot access,2021-01-19
MO,Platte County R-III School District filing deadline,Ballot access,2021-01-19
MO,Park Hill School District filing deadline,Ballot access,2021-01-19
MO,St. Joseph School District filing deadline,Ballot access,2021-01-19
MO,Special party filing deadline for Missouri House of Representatives District 45,Ballot access,2021-01-27
MO,St. Louis,Primary election,2021-03-02
MO,Hickman Mills C-1 School District,General election,2021-04-06
MO,Jefferson City,General election,2021-04-06
MO,Grandview C-4 School District,General election,2021-04-06
MO,Kansas City Public Schools,General election,2021-04-06
MO,Center School District,General election,2021-04-06
MO,St. Louis Public Schools,General election,2021-04-06
MO,St. Joseph School District,General election,2021-04-06
MO,North Kansas City Schools,General election,2021-04-06
MO,Raytown C-2 School District,General election,2021-04-06
MO,St. Louis,General election,2021-04-06
MO,Missouri House of Representatives District 45,General election,2021-04-06
MO,Park Hill School District,General election,2021-04-06
MO,Platte County R-III School District,General election,2021-04-06
MO,Kansas City,General election,2021-04-06
MT,Helena municipal filing deadline,Ballot access,2021-06-21
MT,Helena,Primary election,2021-09-14
MT,Helena,General election,2021-11-02
NE,Crawford,Recall election,2021-01-05
NE,Lincoln Public Schools incumbent filing deadline,Ballot access,2021-02-16
NE,Omaha city council incumbent filing deadline,Ballot access,2021-02-16
NE,Omaha city council non-incumbent filing deadline,Ballot access,2021-03-01
NE,Lincoln Public Schools non-incumbent filing deadline,Ballot access,2021-03-01
NE,Lincoln municipal filing deadline,Ballot access,2021-03-05
NE,Omaha mayoral filing deadline,Ballot access,2021-03-05
NE,Lincoln Public Schools,Primary election,2021-04-06
NE,Omaha,Primary election,2021-04-06
NE,Lincoln,Primary election,2021-04-06
NE,Lincoln Public Schools,General election,2021-05-04
NE,Lincoln,General election,2021-05-04
NE,St. Paul,Recall election,2021-05-11
NE,Omaha,General election,2021-05-11
NH,Filing period for NH House Hillsborough 21 special election,Ballot access,2021-01-15
NH,New Hampshire House of Representatives Hillsborough 21,Special election,2021-02-23
NH,New Hampshire House of Representatives Hillsborough 21,Special election,2021-04-13
NH,New Hampshire House of Representatives Merrimack 23,Primary election,2021-04-20
NH,Filing deadline for Concord City Council Ward 4 special election,Ballot access,2021-05-14
NH,New Hampshire House of Representatives Merrimack 23,General election,2021-06-08
NH,Concord Ward 4,Special election,2021-07-13
NH,Manchester School District primary filing deadline,Ballot access,2021-07-23
NH,Concord municipal filing deadline,Ballot access,2021-09-13
NH,Manchester School District,Primary election,2021-09-21
NH,Manchester School District,General election,2021-11-02
NH,Concord,General election,2021-11-02
NJ,Filing deadline for New Jersey primary election,Ballot access,2021-04-05
NJ,Newark Public Schools,General election,2021-04-20
NJ,New Jersey,Primary election,2021-06-08
NJ,New Jersey,General election,2021-11-02
NM,New Mexico District 1,Primary election,2021-03-27
NM,New Mexico District 1,Primary election,2021-03-30
NM,New Mexico District 1,Primary runoff election,2021-03-31
NM,Party nominations and intent to declare as a write-in candidate in the special election due.,Ballot access,2021-04-06
NM,New Mexico District 1,Special election,2021-06-01
NM,Albuquerque mayoral filing deadline,Ballot access,2021-06-19
NM,Albuquerque city council filing deadline,Ballot access,2021-07-05
NM,Santa Fe municipal filing deadline,Ballot access,2021-07-07
NM,Albuquerque Public Schools filing deadline,Ballot access,2021-08-24
NM,Bernalillo County filing deadline,Ballot access,2021-08-24
NM,Albuquerque Public Schools,General election,2021-11-02
NM,Bernalillo County,General election,2021-11-02
NM,Santa Fe,General election,2021-11-02
NY,New York City Council District 15 special filing deadline,Ballot access,2021-01-19
NY,Filing deadline for NYC City Council District 15 special election,Ballot access,2021-01-19
NY,New York City Council District 11 special filing deadline,Ballot access,2021-01-19
NY,Filing deadline for NYC City Council District 11 special election,Ballot access,2021-01-19
NY,New York City Council District 24,General election,2021-02-02
NY,New York City Council District 31,General election,2021-02-23
NY,New York City Council District 15,Special election,2021-03-23
NY,New York City Council District 11,Special election,2021-03-23
NY,New York statewide regular filing deadline,Ballot access,2021-03-25
NY,Lackawanna City School District filing deadline,Ballot access,2021-04-29
NY,Lackawanna City School District,General election,2021-05-18
NY,New York,Primary election,2021-06-22
NY,New York,General election,2021-11-02
NC,Durham municipal filing deadline,Ballot access,2021-08-13
NC,Charlotte-Mecklenburg Schools filing deadline,Ballot access,2021-08-13
NC,Greensboro municipal filing deadline,Ballot access,2021-08-13
NC,Raleigh municipal filing deadline,Ballot access,2021-08-13
NC,Charlotte municipal filing deadline,Ballot access,2021-08-13
NC,Charlotte,Primary election,2021-09-14
NC,Charlotte,Primary runoff election,2021-10-05
NC,Durham,Primary election,2021-10-05
NC,Raleigh,General election,2021-10-05
NC,Greensboro,Primary election,2021-10-05
NC,Greensboro,General election,2021-11-02
NC,Charlotte,General election,2021-11-02
NC,Charlotte-Mecklenburg Schools,General election,2021-11-02
NC,Raleigh,General runoff election,2021-11-02
NC,Durham,General election,2021-11-02
ND,Horace,Recall election,2021-03-09
OH,Columbus municipal filing deadline,Ballot access,2021-02-03
OH,Franklin County filing deadline,Ballot access,2021-02-03
OH,Cincinnati filing deadline,Ballot access,2021-02-03
OH,Columbus City Schools filing deadline,Ballot access,2021-02-03
OH,Cincinnati mayoral primary filing deadline,Ballot access,2021-02-18
OH,Woodmere,Recall election,2021-02-23
OH,Cincinnati,Primary election,2021-05-04
OH,Franklin County,Primary election,2021-05-04
OH,Columbus City Schools,Primary election,2021-05-04
OH,Ohio's 11th Congressional District special election filing deadline,Ballot access,2021-05-05
OH,Newton Falls,Recall election,2021-05-25
OH,Newton Falls City Council Ward 4,Recall election,2021-06-01
OH,Cleveland municipal filing deadline,Ballot access,2021-06-16
OH,Toledo municipal filing deadline,Ballot access,2021-07-16
OH,Ohio District 11,Special election,2021-08-03
OH,Olentangy Local School District regular filing deadline,Ballot access,2021-08-04
OH,Maumee City School District filing deadline,Ballot access,2021-08-04
OH,Washington Local School District filing deadline,Ballot access,2021-08-04
OH,New Albany-Plain Local School District regular filing deadline,Ballot access,2021-08-04
OH,Euclid City School District regular filing deadline,Ballot access,2021-08-04
OH,South-Western City Schools regular filing deadline,Ballot access,2021-08-04
OH,Cleveland Metropolitan School District regular filing deadline,Ballot access,2021-08-04
OH,Toledo Public Schools filing deadline,Ballot access,2021-08-04
OH,Gahanna-Jefferson City School District regular filing deadline,Ballot access,2021-08-04
OH,Pickerington Local School District regular filing deadline,Ballot access,2021-08-04
OH,Sylvania City School District filing deadline,Ballot access,2021-08-04
OH,Berea City School District regular filing deadline,Ballot access,2021-08-04
OH,Hamilton Local School District regular filing deadline,Ballot access,2021-08-04
OH,Hilliard City Schools regular filing deadline,Ballot access,2021-08-04
OH,Groveport-Madison Local School District regular filing deadline,Ballot access,2021-08-04
OH,Dublin City Schools regular filing deadline,Ballot access,2021-08-04
OH,Worthington Schools regular filing deadline,Ballot access,2021-08-04
OH,Cincinnati Public Schools regular filing deadline,Ballot access,2021-08-04
OH,Canal Winchester Local School District regular filing deadline,Ballot access,2021-08-04
OH,Westerville City School District regular filing deadline,Ballot access,2021-08-04
OH,Cincinnati city council filing deadline,Ballot access,2021-08-19
OH,Berea City School District write-in filing deadline,Ballot access,2021-08-23
OH,Westerville City School District write-in filing deadline,Ballot access,2021-08-23
OH,Cleveland Metropolitan School District write-in filing deadline,Ballot access,2021-08-23
OH,Groveport-Madison Local School District write-in filing deadline,Ballot access,2021-08-23
OH,South-Western City Schools write-in filing deadline,Ballot access,2021-08-23
OH,Dublin City Schools write-in filing deadline,Ballot access,2021-08-23
OH,Hamilton Local School District write-in filing deadline,Ballot access,2021-08-23
OH,Worthington Schools write-in filing deadline,Ballot access,2021-08-23
OH,New Albany-Plain Local School District write-in filing deadline,Ballot access,2021-08-23
OH,Gahanna-Jefferson City School District write-in filing deadline,Ballot access,2021-08-23
OH,Olentangy Local School District write-in filing deadline,Ballot access,2021-08-23
OH,Euclid City School District write-in filing deadline,Ballot access,2021-08-23
OH,Pickerington Local School District write-in filing deadline,Ballot access,2021-08-23
OH,Hilliard City Schools write-in filing deadline,Ballot access,2021-08-23
OH,Canal Winchester Local School District write-in filing deadline,Ballot access,2021-08-23
OH,Toledo,Primary election,2021-09-14
OH,Cleveland,Primary election,2021-09-14
