STATE,DESCRIPTION,TYPE,DATE
OH,Cincinnati,General election,2021-11-02
OH,Canal Winchester Local School District,General election,2021-11-02
OH,Worthington Schools,General election,2021-11-02
OH,South-Western City Schools,General election,2021-11-02
OH,Toledo Public Schools,General election,2021-11-02
OH,Groveport-Madison Local School District,General election,2021-11-02
OH,New Albany-Plain Local School District,General election,2021-11-02
OH,Toledo,General election,2021-11-02
OH,Cincinnati Public Schools,General election,2021-11-02
OH,Gahanna-Jefferson City School District,General election,2021-11-02
OH,Cleveland Metropolitan School District,General election,2021-11-02
OH,Hamilton Local School District,General election,2021-11-02
OH,Berea City School District,General election,2021-11-02
OH,Dublin City Schools,General election,2021-11-02
OH,Maumee City School District,General election,2021-11-02
OH,Washington Local School District,General election,2021-11-02
OH,Pickerington Local School District,General election,2021-11-02
OH,Sylvania City School District,General election,2021-11-02
OH,Franklin County,General election,2021-11-02
OH,Cleveland,General election,2021-11-02
OH,Olentangy Local School District,General election,2021-11-02
OH,Euclid City School District,General election,2021-11-02
OH,Hilliard City Schools,General election,2021-11-02
OH,Columbus City Schools,General election,2021-11-02
OH,Westerville City School District,General election,2021-11-02
OH,Ohio,Special election,2021-11-02
OK,Crooked Oak Public Schools,Primary election,2021-02-09
OK,Piedmont Public Schools,Primary election,2021-02-09
OK,Little Axe Public Schools,Primary election,2021-02-09
OK,Catoosa Public Schools,Primary election,2021-02-09
OK,Jones Public Schools,Primary election,2021-02-09
OK,Midwest City-Del City Schools,Primary election,2021-02-09
OK,Broken Arrow Public Schools,Primary election,2021-02-09
OK,Oklahoma City Public Schools,Primary election,2021-02-09
OK,Mustang Public Schools,Primary election,2021-02-09
OK,Jenks Public Schools,Primary election,2021-02-09
OK,Owasso Public Schools,Primary election,2021-02-09
OK,Oklahoma City,Primary election,2021-02-09
OK,Union Public Schools,Primary election,2021-02-09
OK,Putnam City Schools,Primary election,2021-02-09
OK,Crutcho Public Schools,Primary election,2021-02-09
OK,Deer Creek Public Schools,Primary election,2021-02-09
OK,Moore Public Schools,Primary election,2021-02-09
OK,Western Heights Public Schools,Primary election,2021-02-09
OK,McLoud Public Schools,Primary election,2021-02-09
OK,Luther Public Schools,Primary election,2021-02-09
OK,Yukon Public Schools,Primary election,2021-02-09
OK,Tulsa County,Special election,2021-02-09
OK,Banner School District,Primary election,2021-02-09
OK,Tulsa Public Schools,Primary election,2021-02-09
OK,Bixby Public Schools,Primary election,2021-02-09
OK,Oakdale Public School,Primary election,2021-02-09
OK,Edmond Public Schools,Primary election,2021-02-09
OK,Millwood Public Schools,Primary election,2021-02-09
OK,Oklahoma State Senate District 22,Special election,2021-02-09
OK,Piedmont Public Schools,General election,2021-04-06
OK,Catoosa Public Schools,General election,2021-04-06
OK,Crooked Oak Public Schools,General election,2021-04-06
OK,Yukon Public Schools,General election,2021-04-06
OK,Midwest City-Del City Schools,General election,2021-04-06
OK,Edmond Public Schools,General election,2021-04-06
OK,Millwood Public Schools,General election,2021-04-06
OK,Owasso Public Schools,General election,2021-04-06
OK,Deer Creek Public Schools,General election,2021-04-06
OK,Mustang Public Schools,General election,2021-04-06
OK,Bixby Public Schools,General election,2021-04-06
OK,Broken Arrow Public Schools,General election,2021-04-06
OK,Oklahoma State Senate District 22,Special election,2021-04-06
OK,McLoud Public Schools,General election,2021-04-06
OK,Western Heights Public Schools,General election,2021-04-06
OK,Oakdale Public School,General election,2021-04-06
OK,Little Axe Public Schools,General election,2021-04-06
OK,Oklahoma City Public Schools,General election,2021-04-06
OK,Crutcho Public Schools,General election,2021-04-06
OK,Jones Public Schools,General election,2021-04-06
OK,Union Public Schools,General election,2021-04-06
OK,Putnam City Schools,General election,2021-04-06
OK,Tulsa Public Schools,General election,2021-04-06
OK,Oklahoma City,General election,2021-04-06
OK,Jenks Public Schools,General election,2021-04-06
OK,Luther Public Schools,General election,2021-04-06
OK,Tulsa County,Special election,2021-04-06
OK,Moore Public Schools,General election,2021-04-06
OK,Banner School District,General election,2021-04-06
OK,Edmond Public Schools,Special election,2021-05-11
OR,Multnomah County filing deadline,Ballot access,2021-03-18
OR,Centennial School District 28J filing deadline,Ballot access,2021-03-18
OR,Salem-Keizer Public Schools filing deadline,Ballot access,2021-03-18
OR,Scappoose School District 1J filing deadline,Ballot access,2021-03-18
OR,Parkrose School District 3 filing deadline,Ballot access,2021-03-18
OR,Reynolds School District 7 filing deadline,Ballot access,2021-03-18
OR,David Douglas School District filing deadline,Ballot access,2021-03-18
OR,Beaverton School District filing deadline,Ballot access,2021-03-18
OR,Portland School District 1J filing deadline,Ballot access,2021-03-18
OR,Centennial School District,General election,2021-05-18
OR,Parkrose School District,General election,2021-05-18
OR,Reynolds School District,General election,2021-05-18
OR,Salem-Keizer Public Schools,General election,2021-05-18
OR,Beaverton School District,General election,2021-05-18
OR,Scappoose School District,General election,2021-05-18
OR,Portland Public Schools,General election,2021-05-18
OR,David Douglas School District,General election,2021-05-18
OR,Multnomah County,General election,2021-05-18
PA,Philadelphia judical retention filing deadline,Ballot access,2021-01-04
PA,Philadelphia municipal filing deadline,Ballot access,2021-03-09
PA,Pittsburgh Public Schools primary filing deadline,Ballot access,2021-03-09
PA,Filing deadline for Pennsylvania primary election,Ballot access,2021-03-09
PA,Filing deadline for Pennsylvania state legislative special elections,Ballot access,2021-03-29
PA,Pennsylvania,Primary election,2021-05-18
PA,Pittsburgh Public Schools independent filing deadline,Ballot access,2021-08-02
PA,Philadelphia independent filing deadline,Ballot access,2021-08-02
PA,Pennsylvania,General election,2021-11-02
RI,Rhode Island,Special election,2021-03-02
RI,Filing deadline for Providence City Council Ward 15 special election,Ballot access,2021-04-30
RI,Providence,Primary election,2021-06-08
RI,Providence,Special election,2021-07-06
SC,"Filing period for Columbia, South Carolina",Ballot access,2021-08-16
SC,Columbia,General election,2021-11-02
SC,Columbia,General runoff election,2021-11-16
SD,Pierre,General election,2021-06-08
TX,Special filing deadline for Texas House District 68,Ballot access,2021-01-04
TX,Texas House of Representatives District 68,General election,2021-01-23
TX,Highland Park Independent School District filing deadline,Ballot access,2021-02-12
TX,Plano municipal filing deadline,Ballot access,2021-02-12
TX,Grand Prairie Independent School District filing deadline,Ballot access,2021-02-12
TX,Garland Independent School District filing deadline,Ballot access,2021-02-12
TX,Eagle Mountain-Saginaw Independent School District filing deadline,Ballot access,2021-02-12
TX,Frisco Independent School District filing deadline,Ballot access,2021-02-12
TX,San Antonio Independent School District filing deadline,Ballot access,2021-02-12
TX,Socorro Independent School District filing deadline,Ballot access,2021-02-12
TX,Port Aransas Independent School District filing deadline,Ballot access,2021-02-12
TX,Pasadena Independent School District filing deadline,Ballot access,2021-02-12
TX,Hays Consolidated Independent School District filing deadline,Ballot access,2021-02-12
TX,Northwest Independent School District filing deadline,Ballot access,2021-02-12
TX,Pflugerville Independent School District filing deadline,Ballot access,2021-02-12
TX,El Paso County filing deadline,Ballot access,2021-02-12
TX,Arlington Independent School District filing deadline,Ballot access,2021-02-12
TX,San Antonio municipal filing deadline,Ballot access,2021-02-12
TX,Carrollton-Farmers Branch Independent School District filing deadline,Ballot access,2021-02-12
TX,Galena Park Independent School District filing deadline,Ballot access,2021-02-12
TX,Roosevelt Independent School District filing deadline,Ballot access,2021-02-12
TX,Keller Independent School District filing deadline,Ballot access,2021-02-12
TX,Frenship Independent School District filing deadline,Ballot access,2021-02-12
TX,Klein Independent School District filing deadline,Ballot access,2021-02-12
TX,Northside Independent School District filing deadline,Ballot access,2021-02-12
TX,Tarrant County filing deadline,Ballot access,2021-02-12
TX,Clear Creek Independent School District filing deadline,Ballot access,2021-02-12
TX,Lewisville Independent School District filing deadline,Ballot access,2021-02-12
TX,Southwest Independent School District filing deadline,Ballot access,2021-02-12
TX,Mesquite Independent School District filing deadline,Ballot access,2021-02-12
TX,Lancaster Independent School District filing deadline,Ballot access,2021-02-12
TX,Humble Independent School District filing deadline,Ballot access,2021-02-12
TX,Richardson Independent School District filing deadline,Ballot access,2021-02-12
TX,El Paso Independent School District filing deadline,Ballot access,2021-02-12
TX,New Deal Independent School District filing deadline,Ballot access,2021-02-12
TX,Garland municipal filing deadline,Ballot access,2021-02-12
TX,Aransas County Independent School District filing deadline,Ballot access,2021-02-12
TX,Judson Independent School District filing deadline,Ballot access,2021-02-12
TX,Plano Independent School District filing deadline,Ballot access,2021-02-12
TX,Duncanville Independent School Districtfiling deadline,Ballot access,2021-02-12
TX,Burleson Independent School District filing deadline,Ballot access,2021-02-12
TX,Crowley Independent School District filing deadline,Ballot access,2021-02-12
TX,Irving municipal filing deadline,Ballot access,2021-02-12
TX,Castleberry Independent School District filing deadline,Ballot access,2021-02-12
TX,Killeen Independent School District filing deadline,Ballot access,2021-02-12
TX,Spring Branch Independent School District filing deadline,Ballot access,2021-02-12
TX,Dallas Independent School District filing deadline,Ballot access,2021-02-12
TX,Fort Worth Independent School District filing deadline,Ballot access,2021-02-12
TX,Ector County Independent School District filing deadline,Ballot access,2021-02-12
TX,Irving Independent School District filing deadline,Ballot access,2021-02-12
TX,Harlandale Independent School District filing deadline,Ballot access,2021-02-12
TX,Fort Bend Independent School District filing deadline,Ballot access,2021-02-12
TX,Lake Worth Independent School District filing deadline,Ballot access,2021-02-12
TX,Allen Independent School District filing deadline,Ballot access,2021-02-12
TX,Rockwall Independent School District filing deadline,Ballot access,2021-02-12
TX,Collin County filing deadline,Ballot access,2021-02-12
TX,Amarillo Independent School District filing deadline,Ballot access,2021-02-12
TX,Spring Independent School District filing deadline,Ballot access,2021-02-12
TX,Alamo Heights Independent School District filing deadline,Ballot access,2021-02-12
TX,Hurst-Euless-Bedford Independent School District filing deadline,Ballot access,2021-02-12
TX,Mansfield Independent School District filing deadline,Ballot access,2021-02-12
TX,Kennedale Independent School District filing deadline,Ballot access,2021-02-12
TX,Coppell Independent School District filing deadline,Ballot access,2021-02-12
TX,Katy Independent School District filing deadline,Ballot access,2021-02-12
TX,Southside Independent School District filing deadline,Ballot access,2021-02-12
TX,Ysleta Independent School District filing deadline,Ballot access,2021-02-12
TX,Everman Independent School District filing deadline,Ballot access,2021-02-12
TX,Forney Independent School District filing deadline,Ballot access,2021-02-12
TX,Dallas municipal filing deadline,Ballot access,2021-02-12
TX,Texas House of Representatives District 68,Special election,2021-02-23
TX,Filing deadline for Plano City Council District 7 special election,Ballot access,2021-03-01
TX,Special filing deadline in Texas' 6th Congressional District,Ballot access,2021-03-03
TX,Tuloso-Midway ISD Place 7 general special election filing deadline,Ballot access,2021-03-22
TX,Collin County,General election,2021-05-01
TX,Plano Independent School District,General election,2021-05-01
TX,Ector County Independent School District,General election,2021-05-01
TX,Pasadena Independent School District,General election,2021-05-01
TX,Arlington,General election,2021-05-01
TX,Mesquite Independent School District,General election,2021-05-01
TX,Lancaster Independent School District,General election,2021-05-01
TX,Tarrant County,General election,2021-05-01
TX,Plano,General election,2021-05-01
TX,Mansfield Independent School District,General election,2021-05-01
TX,Duncanville Independent School District,General election,2021-05-01
TX,Hays Consolidated Independent School District,General election,2021-05-01
TX,Garland Independent School District,General election,2021-05-01
TX,Hurst-Euless-Bedford Independent School District,General election,2021-05-01
TX,Coppell Independent School District,General election,2021-05-01
TX,Port Aransas Independent School District,General election,2021-05-01
TX,Roosevelt Independent School District,General election,2021-05-01
TX,Eanes Independent School District,General election,2021-05-01
TX,Southwest Independent School District,General election,2021-05-01
TX,Irving,General election,2021-05-01
TX,Everman Independent School District,General election,2021-05-01
TX,Lewisville Independent School District,General election,2021-05-01
TX,Fort Worth Independent School District,General election,2021-05-01
TX,Katy Independent School District,General election,2021-05-01
TX,Alamo Heights Independent School District,General election,2021-05-01
TX,San Antonio,General election,2021-05-01
TX,Galena Park Independent School District,General election,2021-05-01
TX,Garland,General election,2021-05-01
TX,Carrollton-Farmers Branch Independent School District,General election,2021-05-01
TX,Keller Independent School District,General election,2021-05-01
TX,Irving Independent School District,General election,2021-05-01
TX,Clear Creek Independent School District,General election,2021-05-01
TX,Tuloso-Midway Independent School District,General election,2021-05-01
TX,Aransas County Independent School District,General election,2021-05-01
TX,Forney Independent School District,General election,2021-05-01
TX,New Deal Independent School District,General election,2021-05-01
TX,Humble Independent School District,General election,2021-05-01
TX,Frisco Independent School District,General election,2021-05-01
TX,Amarillo Independent School District,General election,2021-05-01
TX,Dallas Independent School District,General election,2021-05-01
TX,El Paso County,General election,2021-05-01
TX,Frenship Independent School District,General election,2021-05-01
TX,Harlandale Independent School District,General election,2021-05-01
TX,Pflugerville Independent School District,General election,2021-05-01
TX,Northwest Independent School District,General election,2021-05-01
TX,Castleberry Independent School District,General election,2021-05-01
TX,Judson Independent School District,General election,2021-05-01
TX,Killeen Independent School District,General election,2021-05-01
TX,Arlington Independent School District,General election,2021-05-01
TX,Socorro Independent School District,General election,2021-05-01
TX,Eagle Mountain-Saginaw Independent School District,General election,2021-05-01
TX,Grand Prairie Independent School District,General election,2021-05-01
TX,Texas District 6,General election,2021-05-01
TX,Austin,Special election,2021-05-01
TX,Southside Independent School District,General election,2021-05-01
TX,Burleson Independent School District,General election,2021-05-01
TX,Highland Park Independent School District (Dallas),General election,2021-05-01
TX,Fort Bend Independent School District,General election,2021-05-01
TX,Northside Independent School District (Bexar County),General election,2021-05-01
TX,El Paso Independent School District,General election,2021-05-01
TX,Crowley Independent School District,General election,2021-05-01
TX,Allen Independent School District,General election,2021-05-01
TX,San Antonio Independent School District,General election,2021-05-01
TX,Ysleta Independent School District,General election,2021-05-01
TX,Fort Worth (Full and Limited),General election,2021-05-01
TX,Dallas,General election,2021-05-01
TX,Lubbock,Special election,2021-05-01
TX,Kennedale Independent School District,General election,2021-05-01
TX,Spring Branch Independent School District,General election,2021-05-01
TX,Richardson Independent School District,General election,2021-05-01
TX,Rockwall Independent School District,General election,2021-05-01
TX,El Paso Independent School District Board of Trustees District 5,General runoff election,2021-06-05
TX,Plano,General runoff election,2021-06-05
TX,Dallas,General runoff election,2021-06-05
TX,Mansfield Independent School District,General runoff election,2021-06-05
TX,Fort Worth Independent School District school board District 9,General runoff election,2021-06-05
TX,Garland,General runoff election,2021-06-05
TX,Arlington,General runoff election,2021-06-05
TX,San Antonio,General runoff election,2021-06-05
TX,Fort Worth,General runoff election,2021-06-05
TX,Castleberry Independent School District,General runoff election,2021-06-05
TX,Richardson Independent School District,General runoff election,2021-06-05
TX,Tarrant County College District Board of Trustees,General runoff election,2021-06-05
TX,Texas District 6,General runoff election,2021-07-27
TX,Aldine Independent School District filing deadline,Ballot access,2021-08-16
TX,Cypress-Fairbanks Independent School District filing deadline,Ballot access,2021-08-16
TX,Alief Independent School District filing deadline,Ballot access,2021-08-16
TX,Houston Independent School District filing deadline,Ballot access,2021-08-16
TX,Harris County filing deadline,Ballot access,2021-08-16
TX,Texas,General election,2021-11-02
UT,Salt Lake City municipal filing deadline,Ballot access,2021-08-17
UT,Salt Lake City,General election,2021-11-02
VT,Montpelier municipal filing deadline,Ballot access,2021-01-25
VT,Burlington,General election,2021-03-02
VT,Montpelier,General election,2021-03-02
VA,Virginia House of Delegates District 2,Special election,2021-01-05
VA,Virginia House of Delegates District 90,Special election,2021-01-05
VA,Filing deadline for Virginia State Senate District 38 special election,Ballot access,2021-01-22
VA,Filing deadline for Republican convention for Virginia House of Delegates District 53,Ballot access,2021-03-07
VA,Virginia State Senate District 38,Special election,2021-03-23
VA,Filing deadline for Virginia primary election,Ballot access,2021-03-25
VA,Filing deadline for Republican convention for Virginia House of Delegates District 36,Ballot access,2021-04-03
VA,Filing deadline for Republican convention for Virginia House of Delegates District 40,Ballot access,2021-04-10
VA,Filing deadline for Republican convention for Virginia House of Delegates District 37,Ballot access,2021-04-10
VA,Filing deadline for Republican convention for Virginia House of Delegates District 41,Ballot access,2021-04-10
VA,Filing deadline for Republican convention for Virginia House of Delegates District 45,Ballot access,2021-04-20
VA,Filing deadline for Republican convention for Virginia House of Delegates District 46,Ballot access,2021-04-20
VA,Virginia House of Delegates District 93,Primary election,2021-04-22
VA,Virginia House of Delegates District 7,Primary election,2021-04-24
VA,Virginia House of Delegates District 11,Primary election,2021-04-24
VA,Virginia House of Delegates District 16,Primary election,2021-04-24
VA,Virginia House of Delegates District 36,Primary election,2021-04-24
VA,Virginia House of Delegates District 69,Primary election,2021-04-24
VA,Virginia House of Delegates District 88,Primary election,2021-04-24
VA,Virginia House of Delegates District 53,Primary election,2021-04-26
VA,Virginia House of Delegates District 12,Primary election,2021-04-27
VA,Virginia House of Delegates District 37,Primary election,2021-05-01
VA,Virginia House of Delegates District 50,Primary election,2021-05-01
VA,Virginia House of Delegates District 40,Primary election,2021-05-01
VA,Virginia House of Delegates District 41,Primary election,2021-05-01
VA,Virginia,Primary election,2021-05-08
VA,Virginia House of Delegates District 22,Primary election,2021-05-15
VA,Virginia House of Delegates District 46,Primary election,2021-05-15
VA,Virginia House of Delegates District 45,Primary election,2021-05-15
VA,Virginia House of Delegates District 23,Primary election,2021-05-15
VA,Virginia House of Delegates District 97,Primary election,2021-05-29
VA,Virginia House of Delegates District 82,Primary election,2021-06-05
VA,Virginia House of Delegates District 33,Primary election,2021-06-05
VA,Virginia House of Delegates District 2,Primary election,2021-06-06
VA,Virginia,Primary election,2021-06-08
VA,Virginia House of Delegates District 29,Primary election,2021-06-10
VA,Independent/third party filing deadline for Virginia general election,Ballot access,2021-08-13
VA,Virginia,General election,2021-11-02
WA,Seattle School District filing deadline,Ballot access,2021-05-21
WA,Seattle municipal filing deadline,Ballot access,2021-05-21
WA,Filing deadline for Washington primary election,Ballot access,2021-05-21
WA,Washington,Primary election,2021-08-03
WA,Washington,General election,2021-11-02
WI,Milwaukee Public Schools filing deadline,Ballot access,2021-01-05
WI,DeForest Area School District filing deadline,Ballot access,2021-01-05
WI,Madison Metropolitan School District filing deadline,Ballot access,2021-01-05
WI,Filing deadline for Wisconsin spring primary election,Ballot access,2021-01-05
WI,Verona Area School District filing deadline,Ballot access,2021-01-05
WI,Sun Prairie Area School District filing deadline,Ballot access,2021-01-05
WI,Middleton-Cross Plains School District filing deadline,Ballot access,2021-01-05
WI,McFarland School District filing deadline,Ballot access,2021-01-05
WI,Filing deadline for Wisconsin HD89 special primary election.,Ballot access,2021-01-08
WI,Filing deadline for Wisconsin SD13 special election.,Ballot access,2021-01-08
WI,Wisconsin,Primary election,2021-02-16
WI,Wisconsin,General election,2021-04-06
WI,Filing deadline for Wisconsin State Assembly District 37 special election,Ballot access,2021-05-18
WI,Filing deadline for Dane County Board of Supervisors District 19 special election.,Ballot access,2021-05-21
WI,Dane County Supervisor District 19,Primary election,2021-06-15
WI,Wisconsin State Assembly District 37,Primary election,2021-06-15
WI,Wisconsin State Assembly District 37,Special election,2021-07-13
WI,Dane County Supervisor District 19,Special election,2021-07-13
